MOVIMIENTO_ID,EMPRESA_ID,FECHA,CONTRATO_ID,CENTRO_CONTABLE,CUENTA_ID,DIVISA,IMPORTE,LINEA_CUENTA_RESULTADOS,CONCEPTO_GESTION
47,1,2025-09-01,3029,2,760025,EUR,594.59,CR001104,Reparto internegocio fábrica 85%
48,1,2025-09-01,2044,4,640001,EUR,-2923.86,CR0003,Intereses pagados depósito plazo fijo
49,1,2025-09-01,1065,5,760004,EUR,205.49,CR0008,Comisión estudio préstamo
50,1,2025-09-01,2026,2,640001,EUR,-1792.19,CR0003,Intereses pagados depósito plazo fijo
51,1,2025-09-01,2018,2,691001,EUR,-35.36,CR001302,Impuesto depósitos
52,1,2025-09-01,2050,4,691002,EUR,-23.06,CR001301,Fondo garantía depósitos
53,1,2025-09-01,2015,1,760012,EUR,106.26,CR0008,Comisión cancelación anticipada depósito
54,1,2025-09-01,1066,5,760001,EUR,2746.65,CR0001,Intereses cobrados préstamo hipotecario
55,1,2025-09-01,1005,1,760002,EUR,644.23,CR0008,Comisión apertura préstamo
56,1,2025-09-01,2033,3,691001,EUR,-16.32,CR001302,Impuesto depósitos
57,1,2025-09-01,3017,2,760026,EUR,230.01,CR0008,Comisión distribución fondos
58,1,2025-09-01,2038,3,640001,EUR,-2745.21,CR0003,Intereses pagados depósito plazo fijo
59,1,2025-09-01,1031,2,760002,EUR,543.95,CR0008,Comisión apertura préstamo
60,1,2025-09-01,1043,3,760004,EUR,280.32,CR0008,Comisión estudio préstamo
61,1,2025-09-01,3035,3,760026,EUR,225.88,CR0008,Comisión distribución fondos
62,1,2025-09-01,2049,4,640001,EUR,-2548.43,CR0003,Intereses pagados depósito plazo fijo
63,1,2025-09-01,2039,3,691001,EUR,-35.26,CR001302,Impuesto depósitos
64,1,2025-09-01,2009,1,760012,EUR,178.23,CR0008,Comisión cancelación anticipada depósito
65,1,2025-09-01,1051,4,760002,EUR,668.51,CR0008,Comisión apertura préstamo
66,1,2025-09-01,3010,1,760022,EUR,1452.15,CR0008,Comisión suscripción fondos
67,1,2025-09-01,3010,1,760024,EUR,217.82,CR001104,Reparto internegocio banco 15%
68,1,2025-09-01,3010,1,760025,EUR,1234.32,CR001104,Reparto internegocio fábrica 85%
69,1,2025-09-01,1064,5,760004,EUR,203.95,CR0008,Comisión estudio préstamo
70,1,2025-09-01,2003,1,691002,EUR,-20.4,CR001301,Fondo garantía depósitos
71,1,2025-09-01,2032,2,760012,EUR,94.66,CR0008,Comisión cancelación anticipada depósito
72,1,2025-09-01,3004,1,760021,EUR,580.81,CR0008,Comisión gestión fondos
73,1,2025-09-01,3004,1,760024,EUR,87.12,CR001104,Reparto internegocio banco 15%
74,1,2025-09-01,3004,1,760025,EUR,493.69,CR001104,Reparto internegocio fábrica 85%
75,1,2025-09-01,1005,1,760004,EUR,493.18,CR0008,Comisión estudio préstamo
76,1,2025-09-01,2060,5,691002,EUR,-17.32,CR001301,Fondo garantía depósitos
77,1,2025-09-01,1032,2,760001,EUR,3968.84,CR0001,Intereses cobrados préstamo hipotecario
78,1,2025-09-01,3002,1,760025,EUR,1738.12,CR001104,Reparto internegocio fábrica 85%
79,1,2025-09-01,1010,1,760004,EUR,484.06,CR0008,Comisión estudio préstamo
80,1,2025-09-01,2058,5,691001,EUR,-46.58,CR001302,Impuesto depósitos
81,1,2025-09-01,2050,4,760012,EUR,177.59,CR0008,Comisión cancelación anticipada depósito
82,1,2025-09-01,1003,1,760004,EUR,257.64,CR0008,Comisión estudio préstamo
83,1,2025-09-01,2026,2,691001,EUR,-28.98,CR001302,Impuesto depósitos
84,1,2025-09-01,3037,3,760025,EUR,574.22,CR001104,Reparto internegocio fábrica 85%
85,1,2025-09-01,1059,5,760001,EUR,2629.47,CR0001,Intereses cobrados préstamo hipotecario
86,1,2025-09-01,2044,4,760012,EUR,90.79,CR0008,Comisión cancelación anticipada depósito
87,1,2025-09-01,1025,2,760001,EUR,2105.15,CR0001,Intereses cobrados préstamo hipotecario
88,1,2025-09-01,3017,2,760022,EUR,640.54,CR0008,Comisión suscripción fondos
89,1,2025-09-01,3017,2,760024,EUR,96.08,CR001104,Reparto internegocio banco 15%
90,1,2025-09-01,3017,2,760025,EUR,544.46,CR001104,Reparto internegocio fábrica 85%
91,1,2025-09-01,3019,2,760021,EUR,1421.99,CR0008,Comisión gestión fondos
92,1,2025-09-01,3019,2,760024,EUR,213.3,CR001104,Reparto internegocio banco 15%
93,1,2025-09-01,3019,2,760025,EUR,1208.69,CR001104,Reparto internegocio fábrica 85%
94,1,2025-09-01,1040,3,760002,EUR,726.7,CR0008,Comisión apertura préstamo
95,1,2025-09-01,2023,2,760011,EUR,199.4,CR0008,Comisión gestión depósito
96,1,2025-09-01,3013,1,760024,EUR,182.7,CR001104,Reparto internegocio banco 15%
97,1,2025-09-01,2015,1,760011,EUR,131.43,CR0008,Comisión gestión depósito
98,1,2025-09-01,1026,2,760004,EUR,248.26,CR0008,Comisión estudio préstamo
99,1,2025-09-01,1056,4,760004,EUR,487.11,CR0008,Comisión estudio préstamo
100,1,2025-09-01,1035,2,760002,EUR,413.48,CR0008,Comisión apertura préstamo
101,1,2025-09-01,3021,2,760024,EUR,185.1,CR001104,Reparto internegocio banco 15%
102,1,2025-09-01,3041,3,760023,EUR,1409.58,CR0008,Comisión reembolso fondos
103,1,2025-09-01,3041,3,760024,EUR,211.44,CR001104,Reparto internegocio banco 15%
104,1,2025-09-01,3041,3,760025,EUR,1198.14,CR001104,Reparto internegocio fábrica 85%
105,1,2025-09-01,3045,4,760024,EUR,64.26,CR001104,Reparto internegocio banco 15%
106,1,2025-09-01,2014,1,640001,EUR,-1439.63,CR0003,Intereses pagados depósito plazo fijo
107,1,2025-09-01,2045,4,760011,EUR,143.62,CR0008,Comisión gestión depósito
108,1,2025-09-01,2033,3,640001,EUR,-2579.78,CR0003,Intereses pagados depósito plazo fijo
109,1,2025-09-01,1054,4,760002,EUR,383.76,CR0008,Comisión apertura préstamo
110,1,2025-09-01,2038,3,760012,EUR,82.58,CR0008,Comisión cancelación anticipada depósito
111,1,2025-09-01,2022,2,691002,EUR,-15.21,CR001301,Fondo garantía depósitos
112,1,2025-09-01,1055,4,760004,EUR,277.75,CR0008,Comisión estudio préstamo
113,1,2025-09-01,1040,3,760004,EUR,415.23,CR0008,Comisión estudio préstamo
114,1,2025-09-01,3032,2,760024,EUR,286.44,CR001104,Reparto internegocio banco 15%
115,1,2025-09-01,2022,2,691002,EUR,-25.84,CR001301,Fondo garantía depósitos
116,1,2025-09-01,1057,4,760002,EUR,427.28,CR0008,Comisión apertura préstamo
117,1,2025-09-01,2040,3,691001,EUR,-41.41,CR001302,Impuesto depósitos
118,1,2025-09-01,2040,3,640001,EUR,-1601.86,CR0003,Intereses pagados depósito plazo fijo
119,1,2025-09-01,2043,4,760011,EUR,127.36,CR0008,Comisión gestión depósito
120,1,2025-09-01,3032,2,760021,EUR,412.85,CR0008,Comisión gestión fondos
121,1,2025-09-01,3032,2,760024,EUR,61.93,CR001104,Reparto internegocio banco 15%
122,1,2025-09-01,3032,2,760025,EUR,350.92,CR001104,Reparto internegocio fábrica 85%
123,1,2025-09-01,1008,1,760001,EUR,4178.54,CR0001,Intereses cobrados préstamo hipotecario
124,1,2025-09-01,2060,5,640001,EUR,-1245.64,CR0003,Intereses pagados depósito plazo fijo
125,1,2025-09-01,2022,2,640001,EUR,-2631.81,CR0003,Intereses pagados depósito plazo fijo
126,1,2025-09-01,2001,1,691001,EUR,-32.26,CR001302,Impuesto depósitos
127,1,2025-09-01,1015,1,760004,EUR,360.08,CR0008,Comisión estudio préstamo
128,1,2025-09-01,2056,5,760012,EUR,139.29,CR0008,Comisión cancelación anticipada depósito
129,1,2025-09-01,1055,4,760003,EUR,354.24,CR0008,Comisión cancelación préstamo
130,1,2025-09-01,3008,1,760025,EUR,300.12,CR001104,Reparto internegocio fábrica 85%
131,1,2025-09-01,1009,1,760001,EUR,2557.88,CR0001,Intereses cobrados préstamo hipotecario
132,1,2025-09-01,3051,4,760025,EUR,1337.42,CR001104,Reparto internegocio fábrica 85%
133,1,2025-09-01,2049,4,691001,EUR,-18.37,CR001302,Impuesto depósitos
134,1,2025-09-01,2058,5,691002,EUR,-31.11,CR001301,Fondo garantía depósitos
135,1,2025-09-01,2022,2,640001,EUR,-2393.3,CR0003,Intereses pagados depósito plazo fijo
136,1,2025-09-01,3035,3,760021,EUR,1016.57,CR0008,Comisión gestión fondos
137,1,2025-09-01,3035,3,760024,EUR,152.49,CR001104,Reparto internegocio banco 15%
138,1,2025-09-01,3035,3,760025,EUR,864.09,CR001104,Reparto internegocio fábrica 85%
139,1,2025-09-01,3054,5,760021,EUR,642.69,CR0008,Comisión gestión fondos
140,1,2025-09-01,3054,5,760024,EUR,96.4,CR001104,Reparto internegocio banco 15%
141,1,2025-09-01,3054,5,760025,EUR,546.29,CR001104,Reparto internegocio fábrica 85%
142,1,2025-09-01,1017,1,760004,EUR,489.87,CR0008,Comisión estudio préstamo
143,1,2025-09-01,3037,3,760021,EUR,648.95,CR0008,Comisión gestión fondos
144,1,2025-09-01,3037,3,760024,EUR,97.34,CR001104,Reparto internegocio banco 15%
145,1,2025-09-01,3037,3,760025,EUR,551.61,CR001104,Reparto internegocio fábrica 85%
146,1,2025-09-01,1034,2,760001,EUR,2514.82,CR0001,Intereses cobrados préstamo hipotecario
147,1,2025-09-01,1064,5,760003,EUR,221.35,CR0008,Comisión cancelación préstamo
148,1,2025-09-01,2021,2,640001,EUR,-2364.53,CR0003,Intereses pagados depósito plazo fijo
149,1,2025-09-01,1054,4,760002,EUR,567.3,CR0008,Comisión apertura préstamo
150,1,2025-09-01,3059,5,760023,EUR,1377.49,CR0008,Comisión reembolso fondos
151,1,2025-09-01,3059,5,760024,EUR,206.62,CR001104,Reparto internegocio banco 15%
152,1,2025-09-01,3059,5,760025,EUR,1170.87,CR001104,Reparto internegocio fábrica 85%
153,1,2025-09-01,2036,3,691001,EUR,-20.52,CR001302,Impuesto depósitos
154,1,2025-09-01,2028,2,691001,EUR,-26.02,CR001302,Impuesto depósitos
155,1,2025-09-01,1030,2,760001,EUR,2190.59,CR0001,Intereses cobrados préstamo hipotecario
156,1,2025-09-01,1066,5,760004,EUR,490.66,CR0008,Comisión estudio préstamo
157,1,2025-09-01,3039,3,760023,EUR,1237.31,CR0008,Comisión reembolso fondos
158,1,2025-09-01,3039,3,760024,EUR,185.6,CR001104,Reparto internegocio banco 15%
159,1,2025-09-01,3039,3,760025,EUR,1051.72,CR001104,Reparto internegocio fábrica 85%
160,1,2025-09-01,3030,2,760025,EUR,1433.99,CR001104,Reparto internegocio fábrica 85%
161,1,2025-09-01,1033,2,760003,EUR,372.09,CR0008,Comisión cancelación préstamo
162,1,2025-09-01,2026,2,691002,EUR,-15.02,CR001301,Fondo garantía depósitos
163,1,2025-09-01,1014,1,760004,EUR,267.57,CR0008,Comisión estudio préstamo
164,1,2025-09-01,3011,1,760021,EUR,1437.56,CR0008,Comisión gestión fondos
165,1,2025-09-01,3011,1,760024,EUR,215.63,CR001104,Reparto internegocio banco 15%
166,1,2025-09-01,3011,1,760025,EUR,1221.92,CR001104,Reparto internegocio fábrica 85%
167,1,2025-09-01,3023,2,760026,EUR,249.0,CR0008,Comisión distribución fondos
168,1,2025-09-01,1054,4,760004,EUR,411.45,CR0008,Comisión estudio préstamo
169,1,2025-09-01,1041,3,760002,EUR,325.75,CR0008,Comisión apertura préstamo
170,1,2025-09-01,3009,1,760024,EUR,163.89,CR001104,Reparto internegocio banco 15%
171,1,2025-09-01,1040,3,760004,EUR,449.36,CR0008,Comisión estudio préstamo
172,1,2025-09-01,3040,3,760022,EUR,1271.18,CR0008,Comisión suscripción fondos
173,1,2025-09-01,3040,3,760024,EUR,190.68,CR001104,Reparto internegocio banco 15%
174,1,2025-09-01,3040,3,760025,EUR,1080.5,CR001104,Reparto internegocio fábrica 85%
175,1,2025-09-01,3058,5,760021,EUR,1258.91,CR0008,Comisión gestión fondos
176,1,2025-09-01,3058,5,760024,EUR,188.84,CR001104,Reparto internegocio banco 15%
177,1,2025-09-01,3058,5,760025,EUR,1070.07,CR001104,Reparto internegocio fábrica 85%
178,1,2025-09-01,1009,1,760002,EUR,338.97,CR0008,Comisión apertura préstamo
179,1,2025-09-01,3032,2,760022,EUR,1456.94,CR0008,Comisión suscripción fondos
180,1,2025-09-01,3032,2,760024,EUR,218.54,CR001104,Reparto internegocio banco 15%
181,1,2025-09-01,3032,2,760025,EUR,1238.4,CR001104,Reparto internegocio fábrica 85%
182,1,2025-09-01,2009,1,760012,EUR,179.61,CR0008,Comisión cancelación anticipada depósito
183,1,2025-09-01,3026,2,760026,EUR,152.96,CR0008,Comisión distribución fondos
184,1,2025-09-01,2006,1,691002,EUR,-29.45,CR001301,Fondo garantía depósitos
185,1,2025-09-01,1016,1,760004,EUR,321.55,CR0008,Comisión estudio préstamo
186,1,2025-09-01,3043,4,760022,EUR,724.88,CR0008,Comisión suscripción fondos
187,1,2025-09-01,3043,4,760024,EUR,108.73,CR001104,Reparto internegocio banco 15%
188,1,2025-09-01,3043,4,760025,EUR,616.15,CR001104,Reparto internegocio fábrica 85%
189,1,2025-09-01,3051,4,760025,EUR,321.4,CR001104,Reparto internegocio fábrica 85%
190,1,2025-09-01,1050,4,760004,EUR,489.72,CR0008,Comisión estudio préstamo
191,1,2025-09-01,2061,5,640001,EUR,-2210.71,CR0003,Intereses pagados depósito plazo fijo
192,1,2025-09-01,3040,3,760024,EUR,272.58,CR001104,Reparto internegocio banco 15%
193,1,2025-09-01,1008,1,760001,EUR,2850.17,CR0001,Intereses cobrados préstamo hipotecario
194,1,2025-09-01,3039,3,760024,EUR,68.21,CR001104,Reparto internegocio banco 15%
195,1,2025-09-01,1007,1,760003,EUR,302.81,CR0008,Comisión cancelación préstamo
196,1,2025-09-01,2057,5,760012,EUR,83.22,CR0008,Comisión cancelación anticipada depósito
197,1,2025-09-01,1020,2,760004,EUR,301.15,CR0008,Comisión estudio préstamo
198,1,2025-09-01,3028,2,760025,EUR,1525.22,CR001104,Reparto internegocio fábrica 85%
199,1,2025-09-01,1057,4,760001,EUR,2412.1,CR0001,Intereses cobrados préstamo hipotecario
200,1,2025-09-01,1003,1,760002,EUR,559.06,CR0008,Comisión apertura préstamo
201,1,2025-09-01,2006,1,760011,EUR,120.67,CR0008,Comisión gestión depósito
202,1,2025-09-01,2040,3,691001,EUR,-48.7,CR001302,Impuesto depósitos
203,1,2025-09-01,1002,1,760002,EUR,716.18,CR0008,Comisión apertura préstamo
204,1,2025-09-01,2004,1,640001,EUR,-2907.11,CR0003,Intereses pagados depósito plazo fijo
205,1,2025-09-01,3026,2,760022,EUR,865.31,CR0008,Comisión suscripción fondos
206,1,2025-09-01,3026,2,760024,EUR,129.8,CR001104,Reparto internegocio banco 15%
207,1,2025-09-01,3026,2,760025,EUR,735.51,CR001104,Reparto internegocio fábrica 85%
208,1,2025-09-01,3048,4,760024,EUR,142.46,CR001104,Reparto internegocio banco 15%
209,1,2025-09-01,2004,1,640001,EUR,-1917.03,CR0003,Intereses pagados depósito plazo fijo
210,1,2025-09-01,3054,5,760022,EUR,706.96,CR0008,Comisión suscripción fondos
211,1,2025-09-01,3054,5,760024,EUR,106.04,CR001104,Reparto internegocio banco 15%
212,1,2025-09-01,3054,5,760025,EUR,600.92,CR001104,Reparto internegocio fábrica 85%
213,1,2025-09-01,1063,5,760003,EUR,201.93,CR0008,Comisión cancelación préstamo
214,1,2025-09-01,1010,1,760003,EUR,394.48,CR0008,Comisión cancelación préstamo
215,1,2025-09-01,3040,3,760025,EUR,451.66,CR001104,Reparto internegocio fábrica 85%
216,1,2025-09-01,3039,3,760024,EUR,271.52,CR001104,Reparto internegocio banco 15%
217,1,2025-09-01,1036,3,760001,EUR,3524.18,CR0001,Intereses cobrados préstamo hipotecario
218,1,2025-09-01,2045,4,691001,EUR,-40.2,CR001302,Impuesto depósitos
219,1,2025-09-01,3041,3,760024,EUR,61.72,CR001104,Reparto internegocio banco 15%
220,1,2025-09-01,1028,2,760002,EUR,665.31,CR0008,Comisión apertura préstamo
221,1,2025-09-01,1052,4,760001,EUR,3699.31,CR0001,Intereses cobrados préstamo hipotecario
222,1,2025-09-01,1018,2,760004,EUR,471.43,CR0008,Comisión estudio préstamo
223,1,2025-09-01,3036,3,760024,EUR,130.88,CR001104,Reparto internegocio banco 15%
224,1,2025-09-01,3018,2,760026,EUR,198.57,CR0008,Comisión distribución fondos
225,1,2025-09-01,3059,5,760022,EUR,1012.61,CR0008,Comisión suscripción fondos
226,1,2025-09-01,3059,5,760024,EUR,151.89,CR001104,Reparto internegocio banco 15%
227,1,2025-09-01,3059,5,760025,EUR,860.72,CR001104,Reparto internegocio fábrica 85%
228,1,2025-09-01,3002,1,760021,EUR,1489.95,CR0008,Comisión gestión fondos
229,1,2025-09-01,3002,1,760024,EUR,223.49,CR001104,Reparto internegocio banco 15%
230,1,2025-09-01,3002,1,760025,EUR,1266.46,CR001104,Reparto internegocio fábrica 85%
231,1,2025-09-01,2009,1,640001,EUR,-1900.58,CR0003,Intereses pagados depósito plazo fijo
232,1,2025-09-01,3019,2,760025,EUR,380.35,CR001104,Reparto internegocio fábrica 85%
233,1,2025-09-01,3013,1,760024,EUR,150.11,CR001104,Reparto internegocio banco 15%
234,1,2025-09-01,3020,2,760023,EUR,1047.21,CR0008,Comisión reembolso fondos
235,1,2025-09-01,3020,2,760024,EUR,157.08,CR001104,Reparto internegocio banco 15%
236,1,2025-09-01,3020,2,760025,EUR,890.12,CR001104,Reparto internegocio fábrica 85%
237,1,2025-09-01,1040,3,760004,EUR,380.44,CR0008,Comisión estudio préstamo
238,1,2025-09-01,1026,2,760004,EUR,265.53,CR0008,Comisión estudio préstamo
239,1,2025-09-01,1022,2,760002,EUR,677.99,CR0008,Comisión apertura préstamo
240,1,2025-09-01,3019,2,760025,EUR,327.44,CR001104,Reparto internegocio fábrica 85%
241,1,2025-09-01,3024,2,760024,EUR,275.03,CR001104,Reparto internegocio banco 15%
242,1,2025-09-01,3042,3,760025,EUR,1643.27,CR001104,Reparto internegocio fábrica 85%
243,1,2025-09-01,2056,5,691001,EUR,-17.31,CR001302,Impuesto depósitos
244,1,2025-09-01,1009,1,760004,EUR,280.51,CR0008,Comisión estudio préstamo
245,1,2025-09-01,2004,1,691002,EUR,-27.02,CR001301,Fondo garantía depósitos
246,1,2025-09-01,1001,1,760001,EUR,3180.48,CR0001,Intereses cobrados préstamo hipotecario
247,1,2025-09-01,2031,2,691002,EUR,-20.52,CR001301,Fondo garantía depósitos
248,1,2025-09-01,2017,2,760011,EUR,247.46,CR0008,Comisión gestión depósito
249,1,2025-09-01,3041,3,760024,EUR,151.89,CR001104,Reparto internegocio banco 15%
250,1,2025-09-01,2026,2,760012,EUR,137.44,CR0008,Comisión cancelación anticipada depósito
251,1,2025-09-01,3023,2,760021,EUR,473.16,CR0008,Comisión gestión fondos
252,1,2025-09-01,3023,2,760024,EUR,70.97,CR001104,Reparto internegocio banco 15%
253,1,2025-09-01,3023,2,760025,EUR,402.19,CR001104,Reparto internegocio fábrica 85%
254,1,2025-09-01,1043,3,760001,EUR,2039.95,CR0001,Intereses cobrados préstamo hipotecario
255,1,2025-09-01,3005,1,760026,EUR,95.07,CR0008,Comisión distribución fondos
256,1,2025-09-01,1055,4,760003,EUR,259.09,CR0008,Comisión cancelación préstamo
257,1,2025-09-01,3051,4,760024,EUR,136.88,CR001104,Reparto internegocio banco 15%
258,1,2025-09-01,2054,5,691002,EUR,-29.53,CR001301,Fondo garantía depósitos
259,1,2025-09-01,1021,2,760001,EUR,2759.29,CR0001,Intereses cobrados préstamo hipotecario
260,1,2025-09-01,1008,1,760003,EUR,282.73,CR0008,Comisión cancelación préstamo
261,1,2025-09-01,3039,3,760022,EUR,746.75,CR0008,Comisión suscripción fondos
262,1,2025-09-01,3039,3,760024,EUR,112.01,CR001104,Reparto internegocio banco 15%
263,1,2025-09-01,3039,3,760025,EUR,634.73,CR001104,Reparto internegocio fábrica 85%
264,1,2025-09-01,1011,1,760001,EUR,3335.19,CR0001,Intereses cobrados préstamo hipotecario
265,1,2025-09-01,1056,4,760002,EUR,570.41,CR0008,Comisión apertura préstamo
266,1,2025-09-01,1034,2,760004,EUR,365.5,CR0008,Comisión estudio préstamo
267,1,2025-09-01,1022,2,760004,EUR,428.2,CR0008,Comisión estudio préstamo
268,1,2025-09-01,3027,2,760025,EUR,965.12,CR001104,Reparto internegocio fábrica 85%
269,1,2025-09-01,1060,5,760002,EUR,414.91,CR0008,Comisión apertura préstamo
270,1,2025-09-01,3018,2,760025,EUR,1066.82,CR001104,Reparto internegocio fábrica 85%
271,1,2025-09-01,2019,2,691002,EUR,-25.66,CR001301,Fondo garantía depósitos
272,1,2025-09-01,1025,2,760001,EUR,3402.22,CR0001,Intereses cobrados préstamo hipotecario
273,1,2025-09-01,3017,2,760021,EUR,1262.88,CR0008,Comisión gestión fondos
274,1,2025-09-01,3017,2,760024,EUR,189.43,CR001104,Reparto internegocio banco 15%
275,1,2025-09-01,3017,2,760025,EUR,1073.45,CR001104,Reparto internegocio fábrica 85%
276,1,2025-09-01,1019,2,760002,EUR,651.62,CR0008,Comisión apertura préstamo
277,1,2025-09-01,3017,2,760025,EUR,1534.98,CR001104,Reparto internegocio fábrica 85%
278,1,2025-09-01,3049,4,760023,EUR,759.61,CR0008,Comisión reembolso fondos
279,1,2025-09-01,3049,4,760024,EUR,113.94,CR001104,Reparto internegocio banco 15%
280,1,2025-09-01,3049,4,760025,EUR,645.67,CR001104,Reparto internegocio fábrica 85%
281,1,2025-09-01,2045,4,691001,EUR,-43.52,CR001302,Impuesto depósitos
282,1,2025-09-01,2030,2,760011,EUR,196.16,CR0008,Comisión gestión depósito
283,1,2025-09-01,2011,1,691002,EUR,-11.2,CR001301,Fondo garantía depósitos
284,1,2025-09-01,2008,1,691002,EUR,-16.17,CR001301,Fondo garantía depósitos
285,1,2025-09-01,2040,3,760011,EUR,242.22,CR0008,Comisión gestión depósito
286,1,2025-09-01,1003,1,760002,EUR,506.32,CR0008,Comisión apertura préstamo
287,1,2025-09-01,2018,2,691001,EUR,-40.75,CR001302,Impuesto depósitos
288,1,2025-09-01,3046,4,760024,EUR,295.52,CR001104,Reparto internegocio banco 15%
289,1,2025-09-01,1003,1,760001,EUR,3031.62,CR0001,Intereses cobrados préstamo hipotecario
290,1,2025-09-01,2035,3,691002,EUR,-28.48,CR001301,Fondo garantía depósitos
291,1,2025-09-01,3023,2,760025,EUR,1607.28,CR001104,Reparto internegocio fábrica 85%
292,1,2025-09-01,2028,2,640001,EUR,-1268.47,CR0003,Intereses pagados depósito plazo fijo
293,1,2025-09-01,1056,4,760004,EUR,468.31,CR0008,Comisión estudio préstamo
294,1,2025-09-01,2046,4,691001,EUR,-24.64,CR001302,Impuesto depósitos
295,1,2025-09-01,2003,1,691002,EUR,-26.66,CR001301,Fondo garantía depósitos
296,1,2025-09-01,3050,4,760024,EUR,153.69,CR001104,Reparto internegocio banco 15%
297,1,2025-09-01,1025,2,760003,EUR,350.96,CR0008,Comisión cancelación préstamo
298,1,2025-09-01,2002,1,691001,EUR,-46.33,CR001302,Impuesto depósitos
299,1,2025-09-01,2021,2,691001,EUR,-23.83,CR001302,Impuesto depósitos
